id,name,frequency
400,Cobb,69636
401,Moody,69636
402,Quinn,69636
403,Blake,69636
404,Maxwell,69636
405,Pope,69636
406,Floyd,67149
407,Osborne,67149
408,Paul,67149
409,Mccarthy,67149
410,Guerrero,67149
411,Lindsey,67149
412,Estrada,67149
413,Sandoval,67149
414,Gibbs,67149
415,Tyler,67149
416,Gross,67149
417,Fitzgerald,67149
418,Stokes,67149
419,Doyle,67149
420,Sherman,67149
421,Saunders,67149
422,Wise,67149
423,Colon,67149
424,Gill,67149
425,Alvarado,67149
426,Greer,64662
427,Padilla,64662
428,Simon,64662
429,Waters,64662
430,Nunez,64662
431,Ballard,64662
432,Schwartz,64662
433,Mcbride,64662
434,Houston,64662
435,Christensen,64662
436,Klein,64662
437,Pratt,64662
438,Briggs,64662
439,Parsons,64662
440,Mclaughlin,64662
441,Zimmerman,64662
442,French,64662
443,Buchanan,64662
444,Moran,64662
445,Copeland,62175
446,Roy,62175
447,Pittman,62175
448,Brady,62175
449,Mccormick,62175
450,Holloway,62175
451,Brock,62175
452,Poole,62175
453,Frank,62175
454,Logan,62175
455,Owen,62175
456,Bass,62175
457,Marsh,62175
458,Drake,62175
459,Wong,62175
460,Jefferson,62175
461,Park,62175
462,Morton,62175
463,Abbott,62175
464,Sparks,62175
465,Patrick,59688
466,Norton,59688
467,Huff,59688
468,Clayton,59688
469,Massey,59688
470,Lloyd,59688
471,Figueroa,59688
472,Carson,59688
473,Bowers,59688
474,Roberson,59688
475,Barton,59688
476,Tran,59688
477,Lamb,59688
478,Harrington,59688
479,Casey,59688
480,Boone,59688
481,Cortez,59688
482,Clarke,59688
483,Mathis,59688
484,Singleton,59688
485,Wilkins,59688
486,Cain,59688
487,Bryan,59688
488,Underwood,59688
489,Hogan,59688
490,Mckenzie,57201
491,Collier,57201
492,Luna,57201
493,Phelps,57201
494,Mcguire,57201
495,Allison,57201
496,Bridges,57201
497,Wilkerson,57201
498,Nash,57201
499,Summers,57201
500,Atkins,57201
501,Wilcox,57201
502,Pitts,57201
503,Conley,57201
504,Marquez,57201
505,Burnett,57201
506,Richard,57201
507,Cochran,57201
508,Chase,57201
509,Davenport,57201
510,Hood,57201
511,Gates,57201
512,Clay,57201
513,Ayala,57201
514,Sawyer,57201
515,Roman,57201
516,Vazquez,57201
517,Dickerson,57201
518,Hodge,54714
519,Acosta,54714
520,Flynn,54714
521,Espinoza,54714
522,Nicholson,54714
523,Monroe,54714
524,Wolf,54714
525,Morrow,54714
526,Kirk,54714
527,Randall,54714
528,Anthony,54714
529,Whitaker,54714
530,Oconnor,54714
531,Skinner,54714
532,Ware,54714
533,Molina,54714
534,Kirby,54714
535,Huffman,54714
536,Bradford,54714
537,Charles,54714
538,Gilmore,54714
539,Dominguez,54714
540,Oneal,54714
541,Bruce,54714
542,Lang,52227
543,Combs,52227
544,Kramer,52227
545,Heath,52227
546,Hancock,52227
547,Gallagher,52227
548,Gaines,52227
549,Shaffer,52227
550,Short,52227
551,Wiggins,52227
552,Mathews,52227
553,Mcclain,52227
554,Fischer,52227
555,Wall,52227
556,Small,52227
557,Melton,52227
558,Hensley,52227
559,Bond,52227
560,Dyer,52227
561,Cameron,52227
562,Grimes,52227
563,Contreras,52227
564,Christian,52227
565,Wyatt,52227
566,Baxter,52227
567,Snow,52227
568,Mosley,52227
569,Shepherd,52227
570,Larsen,52227
571,Hoover,52227
572,Beasley,49740
573,Glenn,49740
574,Petersen,49740
575,Whitehead,49740
576,Meyers,49740
577,Keith,49740
578,Garrison,49740
579,Vincent,49740
580,Shields,49740
581,Horn,49740
582,Savage,49740
583,Olsen,49740
584,Schroeder,49740
585,Hartman,49740
586,Woodard,49740
587,Mueller,49740
588,Kemp,49740
589,Deleon,49740
590,Booth,49740
591,Patel,49740
592,Calhoun,49740
593,Wiley,49740
594,Eaton,49740
595,Cline,49740
596,Navarro,49740
597,Harrell,49740
598,Lester,49740
599,Humphrey,49740
600,Parrish,49740
601,Duran,49740
602,Hutchinson,49740
603,Hess,49740
604,Dorsey,49740
605,Bullock,49740
606,Robles,49740
607,Beard,47253
608,Dalton,47253
609,Avila,47253
610,Vance,47253
611,Rich,47253
612,Blackwell,47253
613,York,47253
614,Johns,47253
615,Blankenship,47253
616,Trevino,47253
617,Salinas,47253
618,Campos,47253
619,Pruitt,47253
620,Moses,47253
621,Callahan,47253
622,Golden,47253
623,Montoya,47253
624,Hardin,47253
625,Guerra,47253
626,Mcdowell,47253
627,Carey,47253
628,Stafford,47253
629,Gallegos,47253
630,Henson,47253
631,Wilkinson,47253
632,Booker,47253
633,Merritt,47253
634,Miranda,47253
635,Atkinson,47253
636,Orr,47253
637,Decker,47253
638,Hobbs,47253
639,Preston,47253
640,Tanner,47253
641,Knox,47253
642,Pacheco,47253
643,Stephenson,44766
644,Glass,44766
645,Rojas,44766
646,Serrano,44766
647,Marks,44766
648,Hickman,44766
649,English,44766
650,Sweeney,44766
651,Strong,44766
652,Prince,44766
653,Mcclure,44766
654,Conway,44766
655,Walter,44766
656,Roth,44766
657,Maynard,44766
658,Farrell,44766
659,Lowery,44766
660,Hurst,44766
661,Nixon,44766
662,Weiss,44766
663,Trujillo,44766
664,Ellison,44766
665,Sloan,44766
666,Juarez,44766
667,Winters,44766
668,Mclean,44766
669,Randolph,44766
670,Leon,44766
671,Boyer,44766
672,Villarreal,44766
673,Mccall,44766
674,Gentry,44766
675,Carrillo,42279
676,Kent,42279
677,Ayers,42279
678,Lara,42279
679,Shannon,42279
680,Sexton,42279
681,Pace,42279
682,Hull,42279
683,Leblanc,42279
684,Browning,42279
685,Velasquez,42279
686,Leach,42279
687,Chang,42279
688,House,42279
689,Sellers,42279
690,Herring,42279
691,Noble,42279
692,Foley,42279
693,Bartlett,42279
694,Mercado,42279
695,Landry,42279
696,Durham,42279
697,Walls,42279
698,Barr,42279
699,Mckee,42279
700,Bauer,42279
701,Rivers,42279
702,Everett,42279
703,Bradshaw,42279
704,Pugh,42279
705,Velez,42279
706,Rush,42279
707,Estes,42279
708,Dodson,42279
709,Morse,42279
710,Sheppard,42279
711,Weeks,42279
712,Camacho,42279
713,Bean,42279
714,Barron,42279
715,Livingston,42279
716,Middleton,39792
717,Spears,39792
718,Branch,39792
719,Blevins,39792
720,Chen,39792
721,Kerr,39792
722,Mcconnell,39792
723,Hatfield,39792
724,Harding,39792
725,Ashley,39792
726,Solis,39792
727,Herman,39792
728,Frost,39792
729,Giles,39792
730,Blackburn,39792
731,William,39792
732,Pennington,39792
733,Woodward,39792
734,Finley,39792
735,Mcintosh,39792
736,Koch,39792
737,Best,39792
738,Solomon,39792
739,Mccullough,39792
740,Dudley,39792
741,Nolan,39792
742,Blanchard,39792
743,Rivas,39792
744,Brennan,39792
745,Mejia,39792
746,Kane,39792
747,Benton,39792
748,Joyce,39792
749,Buckley,39792
750,Haley,39792
751,Valentine,39792
752,Maddox,39792
753,Russo,39792
754,Mcknight,39792
755,Buck,39792
756,Moon,39792
757,Mcmillan,39792
758,Crosby,39792
759,Berg,39792
760,Dotson,39792
761,Mays,39792
762,Roach,39792
763,Church,39792
764,Chan,39792
765,Richmond,39792
766,Meadows,39792
767,Faulkner,39792
768,Oneill,39792
769,Knapp,39792
770,Kline,37305
771,Barry,37305
772,Ochoa,37305
773,Jacobson,37305
774,Gay,37305
775,Avery,37305
776,Hendricks,37305
777,Horne,37305
778,Shepard,37305
779,Hebert,37305
780,Cherry,37305
781,Cardenas,37305
782,Mcintyre,37305
783,Whitney,37305
784,Waller,37305
785,Holman,37305
786,Donaldson,37305
787,Cantu,37305
788,Terrell,37305
789,Morin,37305
790,Gillespie,37305
791,Fuentes,37305
792,Tillman,37305
793,Sanford,37305
794,Bentley,37305
795,Peck,37305
796,Key,37305
797,Salas,37305
798,Rollins,37305
799,Gamble,37305
800,Dickson,37305
801,Battle,37305
802,Santana,37305
803,Cabrera,37305
804,Cervantes,37305
805,Howe,37305
806,Hinton,37305
807,Hurley,37305
808,Spence,37305
809,Zamora,37305
810,Yang,37305
811,Mcneil,37305
812,Suarez,37305
813,Case,37305
814,Petty,37305
815,Gould,37305
816,Mcfarland,37305
817,Sampson,37305
818,Carver,37305
819,Bray,37305
820,Rosario,37305
821,Macdonald,37305
822,Stout,37305
823,Hester,37305
824,Melendez,37305
825,Dillon,37305
826,Farley,37305
827,Hopper,37305
828,Galloway,37305
829,Potts,37305
830,Bernard,37305
831,Joyner,34818
832,Stein,34818
833,Aguirre,34818
834,Osborn,34818
835,Mercer,34818
836,Bender,34818
837,Franco,34818
838,Rowland,34818
839,Sykes,34818
840,Benjamin,34818
841,Travis,34818
842,Pickett,34818
843,Crane,34818
844,Sears,34818
845,Mayo,34818
846,Dunlap,34818
847,Hayden,34818
848,Wilder,34818
849,Mckay,34818
850,Coffey,34818
851,Mccarty,34818
852,Ewing,34818
853,Cooley,34818
854,Vaughan,34818
855,Bonner,34818
856,Cotton,34818
857,Holder,34818
858,Stark,34818
859,Ferrell,34818
860,Cantrell,34818
861,Fulton,34818
862,Lynn,34818
863,Lott,34818
864,Calderon,34818
865,Rosa,34818
866,Pollard,34818
867,Hooper,34818
868,Burch,34818
869,Mullen,34818
870,Fry,34818
871,Riddle,34818
872,Levy,34818
873,David,34818
874,Duke,34818
875,Odonnell,34818
876,Guy,34818
877,Michael,34818
878,Britt,34818
879,Frederick,34818
880,Daugherty,34818
881,Berger,34818
882,Dillard,34818
883,Alston,34818
884,Jarvis,34818
885,Frye,34818
886,Riggs,34818
887,Chaney,34818
888,Odom,32331
889,Duffy,32331
890,Fitzpatrick,32331
891,Valenzuela,32331
892,Merrill,32331
893,Mayer,32331
894,Alford,32331
895,Mcpherson,32331
896,Acevedo,32331
897,Donovan,32331
898,Barrera,32331
899,Albert,32331
900,Cote,32331
901,Reilly,32331
902,Compton,32331
903,Raymond,32331
904,Mooney,32331
905,Mcgowan,32331
906,Craft,32331
907,Cleveland,32331
908,Clemons,32331
909,Wynn,32331
910,Nielsen,32331
911,Baird,32331
912,Stanton,32331
913,Snider,32331
914,Rosales,32331
915,Bright,32331
916,Witt,32331
917,Stuart,32331
918,Hays,32331
919,Holden,32331
920,Rutledge,32331
921,Kinney,32331
922,Clements,32331
923,Castaneda,32331
924,Slater,32331
925,Hahn,32331
926,Emerson,32331
927,Conrad,32331
928,Burks,32331
929,Delaney,32331
930,Pate,32331
931,Lancaster,32331
932,Sweet,32331
933,Justice,32331
934,Tyson,32331
935,Sharpe,32331
936,Whitfield,32331
937,Talley,32331
938,Macias,32331
939,Irwin,32331
940,Burris,32331
941,Ratliff,32331
942,Mccray,32331
943,Madden,32331
944,Kaufman,32331
945,Beach,32331
946,Goff,32331
947,Cash,32331
948,Bolton,32331
949,Mcfadden,32331
950,Levine,32331
951,Good,32331
952,Byers,32331
953,Kirkland,32331
954,Kidd,32331
955,Workman,32331
956,Carney,32331
957,Dale,32331
958,Mcleod,32331
959,Holcomb,32331
960,England,32331
961,Finch,32331
962,Head,29844
963,Burt,29844
964,Hendrix,29844
965,Sosa,29844
966,Haney,29844
967,Franks,29844
968,Sargent,29844
969,Nieves,29844
970,Downs,29844
971,Rasmussen,29844
972,Bird,29844
973,Hewitt,29844
974,Lindsay,29844
975,Le,29844
976,Foreman,29844
977,Valencia,29844
978,Oneil,29844
979,Delacruz,29844
980,Vinson,29844
981,Dejesus,29844
982,Hyde,29844
983,Forbes,29844
984,Gilliam,29844
985,Guthrie,29844
986,Wooten,29844
987,Huber,29844
988,Barlow,29844
989,Boyle,29844
990,Mcmahon,29844
991,Buckner,29844
992,Rocha,29844
993,Puckett,29844
994,Langley,29844
995,Knowles,29844
996,Cooke,29844
997,Velazquez,29844
998,Whitley,29844
999,Noel,29844
1000,Vang,29844
1001,Shea,29844
1002,Rouse,29844
1003,Hartley,29844
1004,Mayfield,29844
1005,Elder,29844
1006,Rankin,29844
1007,Hanna,29844
1008,Cowan,29844
1009,Lucero,29844
1010,Arroyo,29844
1011,Slaughter,29844
1012,Haas,29844
1013,Oconnell,29844
1014,Minor,29844
1015,Kendrick,29844
1016,Shirley,29844
1017,Kendall,29844
1018,Boucher,29844
1019,Archer,29844
1020,Boggs,29844
1021,Odell,29844
1022,Dougherty,29844
1023,Andersen,29844
1024,Newell,29844
1025,Crowe,29844
1026,Wang,29844
1027,Friedman,29844
1028,Bland,29844
1029,Swain,29844
1030,Holley,29844
1031,Felix,29844
1032,Pearce,29844
1033,Childs,29844
1034,Yarbrough,29844
1035,Galvan,29844
1036,Proctor,29844
1037,Meeks,29844
1038,Lozano,29844
1039,Mora,29844
1040,Rangel,29844
1041,Bacon,29844
1042,Villanueva,29844
1043,Schaefer,29844
1044,Rosado,29844
1045,Helms,29844
1046,Boyce,29844
1047,Goss,29844
1048,Stinson,27357
1049,Smart,27357
1050,Lake,27357
1051,Ibarra,27357
1052,Hutchins,27357
1053,Covington,27357
1054,Reyna,27357
1055,Gregg,27357
1056,Werner,27357
1057,Crowley,27357
1058,Hatcher,27357
1059,Mackey,27357
1060,Bunch,27357
1061,Womack,27357
1062,Polk,27357
1063,Jamison,27357
1064,Dodd,27357
1065,Childress,27357
1066,Childers,27357
1067,Camp,27357
1068,Villa,27357
1069,Dye,27357
1070,Springer,27357
1071,Mahoney,27357
1072,Dailey,27357
1073,Belcher,27357
1074,Lockhart,27357
1075,Griggs,27357
1076,Costa,27357
1077,Connor,27357
1078,Brandt,27357
1079,Winter,27357
1080,Walden,27357
1081,Moser,27357
1082,Tracy,27357
1083,Tatum,27357
1084,Mccann,27357
1085,Akers,27357
1086,Lutz,27357
1087,Pryor,27357
1088,Law,27357
1089,Orozco,27357
1090,Mcallister,27357
1091,Lugo,27357
1092,Davies,27357
1093,Shoemaker,27357
1094,Madison,27357
1095,Rutherford,27357
1096,Newsome,27357
1097,Magee,27357
1098,Chamberlain,27357
1099,Blanton,27357
1100,Simms,27357
1101,Godfrey,27357
1102,Flanagan,27357
1103,Crum,27357
1104,Cordova,27357
1105,Escobar,27357
1106,Downing,27357
1107,Sinclair,27357
1108,Donahue,27357
1109,Krueger,27357
1110,Mcginnis,27357
1111,Gore,27357
1112,Farris,27357
1113,Webber,27357
1114,Corbett,27357
1115,Andrade,27357
1116,Starr,27357
1117,Lyon,27357
1118,Yoder,27357
1119,Hastings,27357
1120,Mcgrath,27357
1121,Spivey,27357
1122,Krause,27357
1123,Harden,27357
1124,Crabtree,27357
1125,Kirkpatrick,27357
1126,Hollis,27357
1127,Brandon,27357
1128,Arrington,27357
1129,Ervin,27357
1130,Clifton,27357
1131,Ritter,27357
1132,Mcghee,27357
1133,Bolden,27357
1134,Maloney,27357
1135,Gagnon,27357
1136,Dunbar,27357
1137,Ponce,27357
1138,Pike,27357
1139,Mayes,27357
1140,Heard,27357
1141,Beatty,27357
1142,Mobley,27357
1143,Kimball,27357
1144,Butts,27357
1145,Montes,27357
1146,Herbert,27357
1147,Grady,27357
1148,Eldridge,27357
1149,Braun,27357
1150,Hamm,27357
1151,Gibbons,27357
1152,Seymour,27357
1153,Moyer,27357
1154,Manley,27357
1155,Herron,27357
1156,Plummer,27357
1157,Elmore,27357
1158,Cramer,27357
1159,Gary,27357
1160,Rucker,27357
1161,Hilton,27357
1162,Blue,27357
1163,Pierson,27357
1164,Fontenot,27357
1165,Field,27357
1166,Rubio,27357
1167,Grace,27357
1168,Goldstein,27357
1169,Elkins,27357
1170,Wills,24870
1171,Novak,24870
1172,John,24870
1173,Hickey,24870
1174,Worley,24870
1175,Gorman,24870
1176,Katz,24870
1177,Dickinson,24870
1178,Broussard,24870
1179,Fritz,24870
1180,Woodruff,24870
1181,Crow,24870
1182,Christopher,24870
1183,Britton,24870
1184,Forrest,24870
1185,Nance,24870
1186,Lehman,24870
1187,Bingham,24870
1188,Zuniga,24870
1189,Whaley,24870
1190,Shafer,24870
1191,Coffman,24870
1192,Steward,24870
1193,Delarosa,24870
1194,Nix,24870
1195,Neely,24870
1196,Numbers,24870
1197,Mata,24870
1198,Manuel,24870
1199,Davila,24870
1200,Mccabe,24870
1201,Kessler,24870
1202,Emery,24870
1203,Bowling,24870
1204,Hinkle,24870
1205,Welsh,24870
1206,Pagan,24870
1207,Goldberg,24870
1208,Goins,24870
1209,Crouch,24870
1210,Cuevas,24870
1211,Quinones,24870
1212,Mcdermott,24870
1213,Hendrickson,24870
1214,Samuels,24870
1215,Denton,24870
1216,Bergeron,24870
1217,Lam,24870
1218,Ivey,24870
1219,Locke,24870
1220,Haines,24870
1221,Thurman,24870
1222,Snell,24870
1223,Hoskins,24870
1224,Byrne,24870
1225,Milton,24870
1226,Winston,24870
1227,Arthur,24870
1228,Arias,24870
1229,Stanford,24870
1230,Roe,24870
1231,Corbin,24870
1232,Beltran,24870
1233,Chappell,24870
1234,Hurt,24870
1235,Downey,24870
1236,Dooley,24870
1237,Tuttle,24870
1238,Couch,24870
1239,Payton,24870
1240,Mcelroy,24870
1241,Crockett,24870
1242,Groves,24870
1243,Clement,24870
1244,Leslie,24870
1245,Cartwright,24870
1246,Dickey,24870
1247,Mcgill,24870
1248,Dubois,24870
1249,Muniz,24870
1250,Erwin,24870
1251,Self,24870
1252,Tolbert,24870
1253,Dempsey,24870
1254,Cisneros,24870
1255,Sewell,24870
1256,Latham,24870
1257,Garland,24870
1258,Vigil,24870
1259,Tapia,24870
1260,Sterling,24870
1261,Rainey,24870
1262,Norwood,24870
1263,Lacy,24870
1264,Stroud,24870
1265,Meade,24870
1266,Amos,24870
1267,Tipton,24870
1268,Lord,24870
1269,Kuhn,24870
1270,Hilliard,24870
1271,Bonilla,24870
1272,Teague,24870
1273,Courtney,24870
1274,Gunn,24870
1275,Ho,24870
1276,Greenwood,24870
1277,Correa,24870
1278,Reece,24870
1279,Weston,24870
1280,Poe,24870
1281,Trent,24870
1282,Pineda,24870
1283,Phipps,24870
1284,Frey,24870
1285,Kaiser,24870
1286,Ames,24870
1287,Paige,24870
1288,Gunter,24870
1289,Schmitt,24870
1290,Milligan,24870
1291,Espinosa,24870
1292,Carlton,24870
1293,Bowden,24870
1294,Vickers,24870
1295,Lowry,24870
1296,Pritchard,24870
1297,Costello,24870
1298,Piper,22383
1299,Mcclellan,22383
1300,Lovell,22383
1301,Drew,22383
1302,Sheehan,22383
1303,Quick,22383
1304,Hatch,22383
1305,Dobson,22383
1306,Singh,22383
1307,Jeffries,22383
1308,Hollingsworth,22383
1309,Sorensen,22383
1310,Meza,22383
1311,Fink,22383
1312,Donnelly,22383
1313,Burrell,22383
1314,Bruno,22383
1315,Tomlinson,22383
1316,Colbert,22383
1317,Billings,22383
1318,Ritchie,22383
1319,Helton,22383
1320,Sutherland,22383
1321,Peoples,22383
1322,Mcqueen,22383
1323,Gaston,22383
1324,Thomason,22383
1325,Mckinley,22383
1326,Givens,22383
1327,Crocker,22383
1328,Vogel,22383
1329,Robison,22383
1330,Dunham,22383
1331,Coker,22383
1332,Swartz,22383
1333,Keys,22383
1334,Lilly,22383
1335,Ladner,22383
1336,Hannah,22383
1337,Willard,22383
1338,Richter,22383
1339,Hargrove,22383
1340,Edmonds,22383
1341,Brantley,22383
1342,Albright,22383
1343,Murdock,22383
1344,Boswell,22383
1345,Muller,22383
1346,Quintero,22383
1347,Padgett,22383
1348,Kenney,22383
1349,Daly,22383
1350,Connolly,22383
1351,Pierre,22383
1352,Inman,22383
1353,Quintana,22383
1354,Lund,22383
1355,Barnard,22383
1356,Villegas,22383
1357,Simons,22383
1358,Land,22383
1359,Huggins,22383
1360,Tidwell,22383
1361,Sanderson,22383
1362,Bullard,22383
1363,Mcclendon,22383
1364,Duarte,22383
1365,Draper,22383
1366,Meredith,22383
1367,Marrero,22383
1368,Dwyer,22383
1369,Abrams,22383
1370,Stover,22383
1371,Goode,22383
1372,Fraser,22383
1373,Crews,22383
1374,Bernal,22383
1375,Smiley,22383
1376,Godwin,22383
1377,Fish,22383
1378,Conklin,22383
1379,Mcneal,22383
1380,Baca,22383
1381,Esparza,22383
1382,Crowder,22383
1383,Bower,22383
1384,Nicholas,22383
1385,Chung,22383
1386,Brewster,22383
